,No. of Bedrooms,price_lack,price_per_square,city_Encoded,location_Encoded,cities,locations
0,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
2,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
3,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
4,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
5,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
6,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
7,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
8,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
9,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
10,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
13,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
14,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
16,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
18,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
19,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
20,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
21,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
22,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
23,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
24,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
25,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
26,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
29,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
30,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
32,3.0,12400000,7272.727272727273,0,439,Banglore,Whitefield Hope Farm Junction
33,2.0,4900000,4128.053917438921,0,50,Banglore,Begur
34,4.0,30000000,8982.035928143712,0,144,Banglore,JP Nagar Phase 1
36,3.0,6845000,4098.802395209581,0,180,Banglore,Kengeri
37,2.0,6797000,5571.311475409836,0,136,Banglore,Horamavu
38,4.0,20000000,7993.605115907274,0,405,Banglore,Thanisandra
39,3.0,7105000,4940.8901251738525,0,306,Banglore,Ramamurthy Nagar
40,3.0,8405000,5982.20640569395,0,439,Banglore,Whitefield Hope Farm Junction
41,1.0,3506000,5312.121212121212,0,102,Banglore,Electronic City Phase 1
42,2.0,7700000,5653.45080763583,0,444,Banglore,Yelahanka
43,3.0,9369000,5400.0,0,19,Banglore,Anjanapura
44,3.0,8716000,5533.9682539682535,0,151,Banglore,Jalahalli
47,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
48,3.0,7209999,5499.6178489702515,0,53,Banglore,Bellandur
50,3.0,12400000,7272.727272727273,0,439,Banglore,Whitefield Hope Farm Junction
51,2.0,4900000,4128.053917438921,0,50,Banglore,Begur
52,2.0,5080000,4000.0,0,61,Banglore,Bommasandra
53,3.0,9458000,5479.721900347625,0,137,Banglore,Hosa Road
54,4.0,23700000,9595.141700404858,0,314,Banglore,Sahakar Nagar
55,3.0,7363000,4689.8089171974525,0,163,Banglore,Kadugodi
57,3.0,4216000,2799.468791500664,0,154,Banglore,Jigani
58,2.0,4368000,4200.0,0,205,Banglore,Krishnarajapura
60,2.0,4545000,4349.282296650717,0,136,Banglore,Horamavu
61,3.0,23100000,9314.516129032258,0,38,Banglore,Banashankari
62,2.0,8000000,6896.551724137931,0,301,Banglore,RR Nagar
63,2.0,4514000,3949.2563429571305,0,301,Banglore,RR Nagar
64,2.0,5460000,4200.0,0,301,Banglore,RR Nagar
66,2.0,8868000,7122.891566265061,0,50,Banglore,Begur
67,2.0,6133000,4810.196078431372,0,306,Banglore,Ramamurthy Nagar
68,2.0,3038000,2800.0,0,24,Banglore,Attibele
70,2.0,7506999,6499.566233766233,0,39,Banglore,Banaswadi
71,3.0,6520000,5000.0,0,439,Banglore,Whitefield Hope Farm Junction
72,2.0,6389000,5704.464285714285,0,186,Banglore,Kodigehalli
76,2.0,4264000,3848.375451263538,0,205,Banglore,Krishnarajapura
81,2.0,6151000,4381.054131054131,0,103,Banglore,Electronic City Phase 2
82,2.0,5426000,5024.074074074074,0,50,Banglore,Begur
85,3.0,4604000,2989.6103896103896,0,255,Banglore,Narayanaghatta
86,3.0,3607000,3249.5495495495497,0,18,Banglore,Anekal City
87,3.0,16500000,10030.395136778116,0,314,Banglore,Sahakar Nagar
88,3.0,4840000,3598.5130111524163,0,322,Banglore,Sarjapur
89,3.0,25800000,13826.36655948553,0,199,Banglore,Koramangala
90,3.0,51000000,14571.42857142857,0,130,Banglore,Hebbal
91,2.0,4809000,4200.0,0,102,Banglore,Electronic City Phase 1
92,2.0,5070000,5422.459893048128,0,67,Banglore,Budigere Cross
93,3.0,10500000,7216.494845360825,0,60,Banglore,Bommanahalli
95,3.0,5559000,3400.0,0,439,Banglore,Whitefield Hope Farm Junction
96,2.0,4723000,4124.890829694323,0,301,Banglore,RR Nagar
98,2.0,8954000,7363.486842105263,0,419,Banglore,Varthur
101,2.0,8784000,6867.865519937451,0,187,Banglore,Kogilu
102,2.0,7900000,6694.9152542372885,0,259,Banglore,Nayandahalli
103,3.0,4781000,3649.618320610687,0,103,Banglore,Electronic City Phase 2
104,3.0,15000000,8445.945945945947,0,57,Banglore,Bilekahalli
105,2.0,4700000,4177.777777777777,0,136,Banglore,Horamavu
107,2.0,6487000,5099.842767295598,0,405,Banglore,Thanisandra
108,3.0,14000000,6451.612903225807,0,160,Banglore,Junnasandra
112,2.0,4545000,4349.282296650717,0,136,Banglore,Horamavu
113,3.0,22000000,12002.182214948172,0,142,Banglore,ITPL
