,Area,Location,No. of Bedrooms,City,price_lack
0,3340,JP Nagar Phase 1,4.0,Banglore,30000000
1,1675,Doddanekundi,3.0,Banglore,8358000
2,1670,Kengeri,3.0,Banglore,6845000
3,1220,Horamavu,2.0,Banglore,6797000
4,2502,Thanisandra,4.0,Banglore,20000000
5,1438,Ramamurthy Nagar,3.0,Banglore,7105000
6,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
7,660,Electronic City Phase 1,1.0,Banglore,3506000
8,1362,Yelahanka,2.0,Banglore,7700000
9,1735,Anjanapura,3.0,Banglore,9369000
10,1575,Jalahalli,3.0,Banglore,8716000
11,1120,Kasavanahalli,2.0,Banglore,5394000
12,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
13,1270,Bommasandra,2.0,Banglore,5080000
14,1311,Bellandur,3.0,Banglore,7209999
15,1210,RR Nagar,2.0,Banglore,5700000
16,3340,JP Nagar Phase 1,4.0,Banglore,30000000
17,1675,Doddanekundi,3.0,Banglore,8358000
18,1670,Kengeri,3.0,Banglore,6845000
19,1220,Horamavu,2.0,Banglore,6797000
20,2502,Thanisandra,4.0,Banglore,20000000
21,1438,Ramamurthy Nagar,3.0,Banglore,7105000
22,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
23,660,Electronic City Phase 1,1.0,Banglore,3506000
24,1362,Yelahanka,2.0,Banglore,7700000
25,1735,Anjanapura,3.0,Banglore,9369000
26,1575,Jalahalli,3.0,Banglore,8716000
27,1120,Kasavanahalli,2.0,Banglore,5394000
28,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
29,1270,Bommasandra,2.0,Banglore,5080000
30,1311,Bellandur,3.0,Banglore,7209999
31,1210,RR Nagar,2.0,Banglore,5700000
32,1705,Whitefield Hope Farm Junction,3.0,Banglore,12400000
33,1187,Begur,2.0,Banglore,4900000
34,3340,JP Nagar Phase 1,4.0,Banglore,30000000
35,1675,Doddanekundi,3.0,Banglore,8358000
36,1670,Kengeri,3.0,Banglore,6845000
37,1220,Horamavu,2.0,Banglore,6797000
38,2502,Thanisandra,4.0,Banglore,20000000
39,1438,Ramamurthy Nagar,3.0,Banglore,7105000
40,1405,Whitefield Hope Farm Junction,3.0,Banglore,8405000
41,660,Electronic City Phase 1,1.0,Banglore,3506000
42,1362,Yelahanka,2.0,Banglore,7700000
43,1735,Anjanapura,3.0,Banglore,9369000
44,1575,Jalahalli,3.0,Banglore,8716000
45,1120,Kasavanahalli,2.0,Banglore,5394000
46,1415,Whitefield Hope Farm Junction,3.0,Banglore,6367000
47,1270,Bommasandra,2.0,Banglore,5080000
48,1311,Bellandur,3.0,Banglore,7209999
49,1210,RR Nagar,2.0,Banglore,5700000
50,1705,Whitefield Hope Farm Junction,3.0,Banglore,12400000
51,1187,Begur,2.0,Banglore,4900000
52,1270,Bommasandra,2.0,Banglore,5080000
53,1726,Hosa Road,3.0,Banglore,9458000
54,2470,Sahakar Nagar,4.0,Banglore,23700000
55,1570,Kadugodi,3.0,Banglore,7363000
56,1120,Jakkur,2.0,Banglore,5489000
57,1506,Jigani,3.0,Banglore,4216000
58,1040,Krishnarajapura,2.0,Banglore,4368000
59,1150,Brookefield,2.0,Banglore,7600000
60,1045,Horamavu,2.0,Banglore,4545000
61,2480,Banashankari,3.0,Banglore,23100000
62,1160,RR Nagar,2.0,Banglore,8000000
63,1143,RR Nagar,2.0,Banglore,4514000
64,1300,RR Nagar,2.0,Banglore,5460000
65,966,Nelamangala,2.0,Banglore,4414000
66,1245,Begur,2.0,Banglore,8868000
67,1275,Ramamurthy Nagar,2.0,Banglore,6133000
68,1085,Attibele,2.0,Banglore,3038000
69,1286,Nelamangala,3.0,Banglore,7100000
70,1155,Banaswadi,2.0,Banglore,7506999
71,1304,Whitefield Hope Farm Junction,3.0,Banglore,6520000
72,1120,Kodigehalli,2.0,Banglore,6389000
73,2017,ITPL,3.0,Banglore,11700000
