,Location,No. of Bedrooms,City,price_lack
0,JP Nagar Phase 1,4.0,Banglore,30000000
1,Doddanekundi,3.0,Banglore,8358000
2,Kengeri,3.0,Banglore,6845000
3,Horamavu,2.0,Banglore,6797000
4,Thanisandra,4.0,Banglore,20000000
5,Ramamurthy Nagar,3.0,Banglore,7105000
6,Whitefield Hope Farm Junction,3.0,Banglore,8405000
7,Electronic City Phase 1,1.0,Banglore,3506000
8,Yelahanka,2.0,Banglore,7700000
9,Anjanapura,3.0,Banglore,9369000
10,Jalahalli,3.0,Banglore,8716000
11,Kasavanahalli,2.0,Banglore,5394000
12,Whitefield Hope Farm Junction,3.0,Banglore,6367000
13,Bommasandra,2.0,Banglore,5080000
14,Bellandur,3.0,Banglore,7209999
15,RR Nagar,2.0,Banglore,5700000
16,JP Nagar Phase 1,4.0,Banglore,30000000
17,Doddanekundi,3.0,Banglore,8358000
18,Kengeri,3.0,Banglore,6845000
19,Horamavu,2.0,Banglore,6797000
20,Thanisandra,4.0,Banglore,20000000
21,Ramamurthy Nagar,3.0,Banglore,7105000
22,Whitefield Hope Farm Junction,3.0,Banglore,8405000
23,Electronic City Phase 1,1.0,Banglore,3506000
24,Yelahanka,2.0,Banglore,7700000
25,Anjanapura,3.0,Banglore,9369000
26,Jalahalli,3.0,Banglore,8716000
27,Kasavanahalli,2.0,Banglore,5394000
28,Whitefield Hope Farm Junction,3.0,Banglore,6367000
29,Bommasandra,2.0,Banglore,5080000
30,Bellandur,3.0,Banglore,7209999
31,RR Nagar,2.0,Banglore,5700000
32,Whitefield Hope Farm Junction,3.0,Banglore,12400000
33,Begur,2.0,Banglore,4900000
34,JP Nagar Phase 1,4.0,Banglore,30000000
35,Doddanekundi,3.0,Banglore,8358000
36,Kengeri,3.0,Banglore,6845000
37,Horamavu,2.0,Banglore,6797000
38,Thanisandra,4.0,Banglore,20000000
39,Ramamurthy Nagar,3.0,Banglore,7105000
40,Whitefield Hope Farm Junction,3.0,Banglore,8405000
41,Electronic City Phase 1,1.0,Banglore,3506000
42,Yelahanka,2.0,Banglore,7700000
43,Anjanapura,3.0,Banglore,9369000
44,Jalahalli,3.0,Banglore,8716000
45,Kasavanahalli,2.0,Banglore,5394000
46,Whitefield Hope Farm Junction,3.0,Banglore,6367000
47,Bommasandra,2.0,Banglore,5080000
48,Bellandur,3.0,Banglore,7209999
49,RR Nagar,2.0,Banglore,5700000
50,Whitefield Hope Farm Junction,3.0,Banglore,12400000
51,Begur,2.0,Banglore,4900000
52,Bommasandra,2.0,Banglore,5080000
53,Hosa Road,3.0,Banglore,9458000
54,Sahakar Nagar,4.0,Banglore,23700000
55,Kadugodi,3.0,Banglore,7363000
56,Jakkur,2.0,Banglore,5489000
57,Jigani,3.0,Banglore,4216000
58,Krishnarajapura,2.0,Banglore,4368000
59,Brookefield,2.0,Banglore,7600000
60,Horamavu,2.0,Banglore,4545000
61,Banashankari,3.0,Banglore,23100000
62,RR Nagar,2.0,Banglore,8000000
63,RR Nagar,2.0,Banglore,4514000
64,RR Nagar,2.0,Banglore,5460000
65,Nelamangala,2.0,Banglore,4414000
66,Begur,2.0,Banglore,8868000
67,Ramamurthy Nagar,2.0,Banglore,6133000
68,Attibele,2.0,Banglore,3038000
69,Nelamangala,3.0,Banglore,7100000
70,Banaswadi,2.0,Banglore,7506999
71,Whitefield Hope Farm Junction,3.0,Banglore,6520000
72,Kodigehalli,2.0,Banglore,6389000
73,ITPL,3.0,Banglore,11700000
74,Electronic City Phase 1,3.0,Banglore,4562000
75,Ramamurthy Nagar,1.0,Banglore,2951000
76,Krishnarajapura,2.0,Banglore,4264000
77,Krishnarajapura,3.0,Banglore,6698000
78,Kasavanahalli,2.0,Banglore,4500000
79,Varthur,2.0,Banglore,4928000
80,Vidyaranyapura,2.0,Banglore,6100000
81,Electronic City Phase 2,2.0,Banglore,6151000
82,Begur,2.0,Banglore,5426000
83,J. P. Nagar,3.0,Banglore,13000000
84,K. Chudahalli,2.0,Banglore,4850000
85,Narayanaghatta,3.0,Banglore,4604000
86,Anekal City,3.0,Banglore,3607000
87,Sahakar Nagar,3.0,Banglore,16500000
88,Sarjapur,3.0,Banglore,4840000
89,Koramangala,3.0,Banglore,25800000
90,Hebbal,3.0,Banglore,51000000
91,Electronic City Phase 1,2.0,Banglore,4809000
92,Budigere Cross,2.0,Banglore,5070000
93,Bommanahalli,3.0,Banglore,10500000
94,Varthur,2.0,Banglore,4580000
95,Whitefield Hope Farm Junction,3.0,Banglore,5559000
96,RR Nagar,2.0,Banglore,4723000
97,Krishnarajapura,3.0,Banglore,4465000
98,Varthur,2.0,Banglore,8954000
99,Electronics City,2.0,Banglore,4000000
100,Chikkalasandra,2.0,Banglore,5400000
101,Kogilu,2.0,Banglore,8784000
102,Nayandahalli,2.0,Banglore,7900000
103,Electronic City Phase 2,3.0,Banglore,4781000
104,Bilekahalli,3.0,Banglore,15000000
105,Horamavu,2.0,Banglore,4700000
106,Muneshwara Nagar,3.0,Banglore,7767000
107,Thanisandra,2.0,Banglore,6487000
108,Junnasandra,3.0,Banglore,14000000
109,RR Nagar,3.0,Banglore,8758000
110,Kothanur,2.0,Banglore,5500000
111,Kadugodi Industrial Area,2.0,Banglore,4900000
112,Horamavu,2.0,Banglore,4545000
113,ITPL,3.0,Banglore,22000000
114,RMV Extension Stage 2,2.0,Banglore,7500000
115,Kudlu,2.0,Banglore,3779999
116,Varthur,2.0,Banglore,8954000
117,Koramangala,3.0,Banglore,25800000
118,Varthur,2.0,Banglore,8954000
119,Electronic City Phase 2,3.0,Banglore,8218000
120,Jakkur,3.0,Banglore,8656000
121,Doddanekundi,3.0,Banglore,7520000
122,Begur,3.0,Banglore,11000000
123,Begur,3.0,Banglore,11399999
124,Begur,4.0,Banglore,13000000
125,Begur,3.0,Banglore,11299999
126,Doddanekundi,2.0,Banglore,6736000
127,Doddanekundi,3.0,Banglore,8233000
128,Doddanekundi,3.0,Banglore,6761000
129,Doddanekundi,2.0,Banglore,6611000
130,Doddanekundi,2.0,Banglore,6287000
131,Doddanekundi,2.0,Banglore,6437000
132,Doddanekundi,2.0,Banglore,6112000
133,Doddanekundi,2.0,Banglore,6487000
134,Kengeri,2.0,Banglore,4722000
135,Kengeri,2.0,Banglore,4586000
136,Kengeri,2.0,Banglore,4582000
137,Kengeri,3.0,Banglore,6787000
138,Horamavu,3.0,Banglore,9319000
139,Horamavu,2.0,Banglore,6892000
140,Bommanahalli,2.0,Banglore,9277000
141,Bommanahalli,3.0,Banglore,11600000
142,Bommanahalli,3.0,Banglore,10900000
143,Bommanahalli,3.0,Banglore,10500000
144,Bommanahalli,3.0,Banglore,9859000
145,Ramamurthy Nagar,3.0,Banglore,6973999
146,Ramamurthy Nagar,2.0,Banglore,5705000
147,Ramamurthy Nagar,2.0,Banglore,5772000
148,Ramamurthy Nagar,3.0,Banglore,6720999
149,Ramamurthy Nagar,3.0,Banglore,6761000
150,Ramamurthy Nagar,2.0,Banglore,5677000
151,Ramamurthy Nagar,2.0,Banglore,5384000
152,Whitefield Hope Farm Junction,3.0,Banglore,9141000
153,Whitefield Hope Farm Junction,3.0,Banglore,9522000
154,Whitefield Hope Farm Junction,3.0,Banglore,10000000
155,Whitefield Hope Farm Junction,2.0,Banglore,7211000
156,Whitefield Hope Farm Junction,3.0,Banglore,8514000
157,Whitefield Hope Farm Junction,3.0,Banglore,10300000
158,Whitefield Hope Farm Junction,2.0,Banglore,7783000
159,Whitefield Hope Farm Junction,2.0,Banglore,7429000
160,Whitefield Hope Farm Junction,2.0,Banglore,7809999
161,Electronic City Phase 1,1.0,Banglore,3506000
162,Electronic City Phase 1,2.0,Banglore,6250000
163,Electronic City Phase 1,2.0,Banglore,6250000
164,Electronic City Phase 1,1.0,Banglore,3797999
165,Electronic City Phase 1,1.0,Banglore,3797999
166,Electronic City Phase 1,2.0,Banglore,5034000
167,Electronic City Phase 1,2.0,Banglore,5034000
168,Electronic City Phase 1,3.0,Banglore,7897000
169,Electronic City Phase 1,3.0,Banglore,7897000
170,Electronic City Phase 1,2.0,Banglore,5327000
171,Electronic City Phase 1,2.0,Banglore,5327000
172,Electronic City Phase 1,3.0,Banglore,8269000
173,Electronic City Phase 1,3.0,Banglore,8269000
174,Electronic City Phase 1,2.0,Banglore,5958000
175,Electronic City Phase 1,2.0,Banglore,5958000
176,Yelahanka,2.0,Banglore,6900000
177,Yelahanka,3.0,Banglore,9700000
178,Yelahanka,2.0,Banglore,7300000
179,Anjanapura,3.0,Banglore,9180000
180,Carmelaram,2.0,Banglore,6986000
181,Carmelaram,2.0,Banglore,6081000
182,Carmelaram,3.0,Banglore,7891000
183,Carmelaram,2.0,Banglore,6070000
184,Carmelaram,2.0,Banglore,5961000
185,Carmelaram,3.0,Banglore,8442000
186,Carmelaram,3.0,Banglore,9003000
187,Carmelaram,2.0,Banglore,5923000
188,Carmelaram,2.0,Banglore,6174000
189,Carmelaram,2.0,Banglore,5994000
190,Carmelaram,3.0,Banglore,8180000
191,Carmelaram,3.0,Banglore,7662000
192,Horamavu,3.0,Banglore,8763000
193,Horamavu,3.0,Banglore,8957000
194,Horamavu,2.0,Banglore,6581000
195,Horamavu,3.0,Banglore,9640000
196,Horamavu,2.0,Banglore,6664000
197,Horamavu,2.0,Banglore,6631000
198,Horamavu,3.0,Banglore,10000000
199,Horamavu,3.0,Banglore,9879000
200,Horamavu,3.0,Banglore,8529000
